Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
Category,Manufacturer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2014 Total
Mix,Abbas,341,442,703,699,772,697,555,518,539,521,434,521,,6742
,Aliqui,230,334,617,819,955,829,596,603,411,272,251,340,,6257
,Currus,407,665,1307,1511,1608,1317,1039,902,680,587,471,593,,11087
,Natura,202,293,545,520,504,419,356,364,310,246,184,239,,4182
,Pirum,467,612,1320,1333,1453,1329,942,972,806,559,577,464,,10834
,Pomum,4,6,10,7,13,11,11,9,4,11,5,4,,95
,Quibus,284,293,410,495,410,353,280,254,194,209,238,318,,3738
,Victoria,18,27,74,64,67,75,51,45,33,33,23,20,,530
Mix Total,,1953,2672,4986,5448,5782,5030,3830,3667,2977,2438,2183,2499,,43465
,,,,,,,,,,,,,,,
Category,Manufacturer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2014 Total
Rural,Abbas,13,26,31,42,18,10,20,25,18,21,9,33,,266
,Aliqui,7074,8256,12808,14375,14495,11358,8724,9236,7588,7418,9032,21971,,132335
,Currus,1854,2473,3479,3414,3257,2861,2552,2285,2073,2163,2701,6880,,35992
,Fama,2,2,,,,8,,4,,2,,,,18
,Natura,11414,13558,20787,19659,19107,16633,15439,14565,13855,13985,18065,37557,,214624
,Pirum,4254,4299,6619,6173,5391,4668,3635,4353,3861,3716,4012,7305,,58286
,Pomum,12,12,44,26,38,24,16,34,38,26,28,26,,324
,Quibus,3304,3104,4056,4191,3531,2912,2017,2621,3041,2825,2854,3472,,37928
,VanArsdel,5,13,27,8,7,2,16,7,6,4,6,5,,106
Rural Total,,27932,31743,47851,47888,45844,38476,32419,33130,30480,30160,36707,77249,,479879
,,,,,,,,,,,,,,,
Category,Manufacturer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2014 Total
Urban,Abbas,508,789,1181,1476,1349,1230,1087,1122,822,791,690,984,,12029
,Aliqui,2537,4580,9947,12851,14323,11266,8151,7529,5224,3563,2695,2963,,85629
,Barba,115,184,385,681,622,517,413,376,264,226,143,103,,4029
,Currus,2594,4570,10469,12084,12972,11298,8987,6814,4805,3753,2814,2621,,83781
,Fama,469,587,1080,1185,1394,1291,898,890,670,597,425,587,,10073
,Leo,250,407,824,976,1078,1022,700,821,607,456,335,360,,7836
,Natura,3748,6193,14013,16475,18239,15949,14267,11242,8229,5584,4099,3711,,121749
,Palma,62,78,112,134,186,181,143,141,95,151,155,126,,1564
,Pirum,2487,3851,8687,10062,11430,10331,7691,6785,4728,3495,2687,2272,,74506
,Pomum,120,123,217,305,325,276,225,236,157,154,120,149,,2407
,Quibus,33,31,67,90,139,120,88,85,56,56,27,24,,816
,Salvus,2,4,3,9,5,2,3,8,7,3,2,,,48
,VanArsdel,15698,20142,32078,33602,35140,35106,30363,25037,21472,19008,15632,15255,,298533
,Victoria,521,654,1165,1357,1528,1462,1112,1126,830,668,492,494,,11409
Urban Total,,29144,42193,80228,91287,98730,90051,74128,62212,47966,38505,30316,29649,,714409
,,,,,,,,,,,,,,,
Category,Manufacturer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2014 Total
Youth,Abbas,7,4,19,13,15,9,5,10,4,13,25,11,,135
,Aliqui,594,825,1492,2222,3182,3162,2165,1956,1649,1090,757,1059,,20153
,Currus,88,136,362,480,531,544,420,320,265,178,171,116,,3611
,Natura,527,783,2048,2750,3282,3337,2812,2352,1743,1067,682,1034,,22417
,Pomum,517,555,876,1187,1548,1806,1588,1670,1112,930,673,817,,13279
,Salvus,89,142,265,355,373,395,335,319,231,135,112,105,,2856
Youth Total,,1822,2445,5062,7007,8931,9253,7325,6627,5004,3413,2420,3142,,62451
,,,,,,,,,,,,,,,
Grand Total,,60851,79053,138127,151630,159287,142810,117702,105636,86427,74516,71626,112539,,1300204
